topic,description,region,category,subcategory,source
Dhanuyatra,"World's largest open-air theatrical performance held annually in Bargarh, Odisha, enacting Krishna's life with the entire town as stage.",Odisha,Performing Arts,Theater,Sangeet Natak Akademi
Khoriya Cultivation,"Traditional slash-and-burn agricultural practice in Northeast India, involving community cooperation and sustainable forest management.",Arunachal Pradesh,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Chenda Melam,"Percussion ensemble from Kerala featuring chenda drums in temple festivals, with complex rhythmic patterns and synchronized performance.",Kerala,Performing Arts,Temple Music,Kerala Tourism Department
Lambani Embroidery,"Vibrant mirror and thread embroidery tradition of the nomadic Lambani tribe, featuring bold colors, coins, and shells on traditional garments.",Karnataka,Art Form,Tribal Craft,National Crafts Museum
Magh Bihu,"Harvest festival of Assam featuring community feasting, bonfires, traditional sports, and the building of temporary huts called meji and bhelaghar.",Assam,Festival,Harvest Festival,Anthropological Survey of India
Kora Grass Weaving,"Traditional craft using tall grass to create mats, baskets, and utility items, particularly practiced in rural Bengal and Assam.",West Bengal,Art Form,Traditional Craft,National Crafts Museum
Gangaur Procession,Ceremonial procession during Gangaur festival in Rajasthan where women carry decorated images of Goddess Gauri on their heads to water bodies.,Rajasthan,Festival,Women's Ritual,Anthropological Survey of India
Mishmi Textile,"Distinctive weaving tradition of the Mishmi tribe of Arunachal Pradesh, creating geometric patterns with natural fibers and dyes.",Arunachal Pradesh,Art Form,Tribal Craft,National Crafts Museum
Karagam Dance,"Folk dance from Tamil Nadu where performers balance decorated pots on their heads while dancing to rhythmic music, often as temple offerings.",Tamil Nadu,Performing Arts,Folk Dance,Sangeet Natak Akademi
Pithoro Ceremony,"Week-long ritual of the Rathwa tribe where wall paintings are created to honor their deity Baba Pithoro, accompanied by music and trance dances.",Gujarat,Ritual,Tribal Ceremony,Anthropological Survey of India
Toda Prayer Songs,"Sacred chants of the Toda tribe of Nilgiri Hills, featuring distinctive vocal techniques and language, performed during rituals and ceremonies.",Tamil Nadu,Performing Arts,Tribal Music,Sangeet Natak Akademi
Kalbelia Water Conservation,"Traditional water harvesting and conservation techniques of the nomadic Kalbelia tribe, adapted to desert environments of Rajasthan.",Rajasthan,Traditional Knowledge,Environmental Practice,Anthropological Survey of India
Thangka Painting,"Tibetan Buddhist painting tradition adopted in Himalayan regions of India, featuring detailed depictions of deities, mandalas, and spiritual events on cotton or silk.",Ladakh,Art Form,Religious Art,National Crafts Museum
Kuchipudi Tarangam,Unique aspect of Kuchipudi dance where performers dance on the edges of a brass plate while balancing a pot of water on the head.,Andhra Pradesh,Performing Arts,Dance,Sangeet Natak Akademi
Pithora Healing Ritual,Shamanic healing ceremony of Bhil and Rathwa tribes involving the creation of sacred paintings to invoke deities for curing illness.,Gujarat,Ritual,Healing Ceremony,Anthropological Survey of India
Khasi Bamboo Dance,"Traditional dance from Meghalaya where performers move between rhythmically clapped bamboo poles, requiring precise timing and coordination.",Meghalaya,Performing Arts,Folk Dance,North East Zone Cultural Centre
Kalamkari Temple Hangings,Traditional textile art creating narrative temple cloths depicting mythological scenes using natural dyes and hand-carved blocks.,Andhra Pradesh,Art Form,Temple Art,National Crafts Museum
Pola Bullocks Decoration,"Elaborate decoration of bulls and oxen during Pola festival in Maharashtra, featuring ornamental headgear, embroidered cloths, and painted horns.",Maharashtra,Festival,Agricultural Festival,Anthropological Survey of India
Konyak Tattoo Art,"Traditional facial and body tattooing practice of the Konyak Naga tribe, once marking accomplished warriors and tribal identity.",Nagaland,Art Form,Body Art,Anthropological Survey of India
Pattegars,Traditional hereditary record keepers of Karnataka who maintained genealogical records of communities across generations using palm leaf manuscripts.,Karnataka,Knowledge System,Documentation Practice,Anthropological Survey of India
Khond Tribal Dance,"Ritual dance of the Khond tribe of Odisha performed during agricultural festivals, featuring distinctive rhythmic movements and traditional instruments.",Odisha,Performing Arts,Tribal Dance,Anthropological Survey of India
Kavad Storytelling,Traditional storytelling art form using portable wooden shrines with painted panels that unfold to reveal religious narratives as the storyteller recites.,Rajasthan,Performing Arts,Storytelling,Sangeet Natak Akademi
Pithora Divination,"Tribal practice of using sacred paintings for divination and forecasting, performed by specialized priests among the Rathwa and Bhilala tribes.",Gujarat,Ritual,Divination Practice,Anthropological Survey of India
Kota Doria Weaving,"Fine handloom weaving technique creating lightweight fabric with square patterns (khat) using cotton and silk threads, originating in Rajasthan.",Rajasthan,Art Form,Traditional Craft,National Crafts Museum
Pattachitra Scroll Performance,"Traditional performance art where artists unfurl painted scrolls while singing stories of deities and epics, traveling between villages.",Odisha,Performing Arts,Storytelling,Sangeet Natak Akademi
Khasi Sacred Forests,"Community-protected sacred groves in Meghalaya maintained through traditional ecological knowledge and religious beliefs, preserving biodiversity.",Meghalaya,Traditional Knowledge,Environmental Practice,Anthropological Survey of India
Kalamkari Natural Dyeing,"Traditional technique of creating natural dyes from plants, minerals, and insects for Kalamkari textile art, using mordants to fix colors.",Andhra Pradesh,Art Form,Traditional Craft,National Crafts Museum
Pongal Cattle Decoration,"Ritual decoration of cattle during Pongal festival in Tamil Nadu, featuring painted horns, flower garlands, and bells to honor their agricultural contribution.",Tamil Nadu,Festival,Harvest Festival,Anthropological Survey of India
Kuki Bamboo Crafts,Traditional bamboo crafting techniques of the Kuki tribe creating utilitarian and decorative items using only hand tools and indigenous knowledge.,Manipur,Art Form,Tribal Craft,National Crafts Museum
Patachitra Storytelling,Performance tradition where artists display narrative scroll paintings while singing stories of mythology and folk tales to village audiences.,West Bengal,Performing Arts,Storytelling,Sangeet Natak Akademi
Khasi Archery Lottery,"Traditional gambling practice in Meghalaya based on archery results, deeply embedded in cultural life and community gatherings.",Meghalaya,Social Practice,Traditional Game,Anthropological Survey of India
Kalighat Painting,"Folk art style originating near Kolkata's Kalighat temple, depicting religious themes, social commentary, and daily life with bold outlines and vibrant colors.",West Bengal,Art Form,Folk Art,National Crafts Museum
Pokkali Farming,"Traditional organic farming system in Kerala alternating rice cultivation and prawn farming in brackish water, creating a sustainable ecosystem.",Kerala,Traditional Knowledge,Agricultural Practice,Kerala Tourism Department
Kurumba Tribal Art,Ritual paintings of the Kurumba tribe from Nilgiri Hills using natural pigments to create sacred images for ceremonies and healing practices.,Tamil Nadu,Art Form,Tribal Art,National Crafts Museum
Pattadakal Dance Festival,"Annual cultural festival held against the backdrop of UNESCO World Heritage Pattadakal temples, showcasing classical dance forms of India.",Karnataka,Festival,Cultural Festival,Karnataka Tourism Department
Khond Meriah Ritual,Traditional harvest ceremony of the Khond tribe (modified from historical practice) honoring Earth Goddess with offerings and community celebrations.,Odisha,Ritual,Harvest Ritual,Anthropological Survey of India
Kasuti Embroidery,"Intricate geometric embroidery tradition from Karnataka using running stitches to create complex patterns on garments, particularly on Ilkal saris.",Karnataka,Art Form,Traditional Craft,National Crafts Museum
Pulikali Face Painting,"Elaborate tiger face and body painting technique for Pulikali performers during Onam festival, using natural and synthetic colors with specialized application methods.",Kerala,Art Form,Body Art,Kerala Tourism Department
Kurmi Wedding Rituals,"Distinctive marriage traditions of the agricultural Kurmi community featuring symbolic plowing ceremony, grain offerings, and community feasting.",Chhattisgarh,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Patua Art,Scroll painting tradition from West Bengal where artists create narrative paintings on paper scrolls and sing the stories as they unfurl them.,West Bengal,Art Form,Folk Art,National Crafts Museum
Pongal Kolam Competition,"Community contests held during Pongal festival to create the most intricate and beautiful rice flour designs at thresholds, judged on complexity and precision.",Tamil Nadu,Festival,Community Event,Anthropological Survey of India
Kutchi Embroidery,"Distinctive needlework tradition from Kutch region featuring mirror work, vibrant colors, and intricate patterns specific to different communities.",Gujarat,Art Form,Traditional Craft,National Crafts Museum
Pulluvan Pattu,"Ritual snake worship songs performed by the Pulluvan community in Kerala, using distinctive string instruments and rhythmic patterns to invoke snake deities.",Kerala,Performing Arts,Ritual Music,Kerala Tourism Department
Kurinji Flower Festival,"Rare celebration occurring once every 12 years when the Kurinji flower blooms across the Western Ghats, marked by tribal gatherings and rituals.",Tamil Nadu,Festival,Natural Phenomenon,Anthropological Survey of India
Patteda Anchu,"Traditional silk sari weaving technique from Karnataka featuring distinctive red borders and geometric patterns, worn during auspicious ceremonies.",Karnataka,Art Form,Traditional Craft,National Crafts Museum
Pooram Elephant Procession,"Ceremonial procession of caparisoned elephants during temple festivals in Kerala, featuring gold-plated accoutrements and parasols.",Kerala,Festival,Temple Festival,Kerala Tourism Department
Kuruba Shepherd Traditions,"Pastoral knowledge system of the Kuruba community including animal husbandry techniques, weather prediction, and seasonal migration patterns.",Karnataka,Traditional Knowledge,Pastoral Practice,Anthropological Survey of India
Pahari Miniature Painting,"Distinctive painting style from Himalayan regions featuring delicate brushwork, vibrant colors, and themes of Rajput court life and Krishna legends.",Himachal Pradesh,Art Form,Classical Art,National Crafts Museum
Poleramma Festival,"Village goddess worship festival in Andhra Pradesh featuring animal sacrifice (now often symbolic), spirit possession, and community feasting.",Andhra Pradesh,Festival,Village Deity Worship,Anthropological Survey of India
Kunbi Sari Weaving,"Traditional cotton check weaving technique of the Kunbi tribal community of Goa, featuring distinctive red and white patterns.",Goa,Art Form,Tribal Craft,National Crafts Museum
Pattanam Archaeological Site,"Ancient port city excavation in Kerala revealing Indo-Roman trade connections, with artifacts showing cultural exchange dating back 2000 years.",Kerala,Heritage Site,Archaeological Site,Archaeological Survey of India
Kuravan-Kurathi Nomadic Crafts,"Traditional bamboo crafting techniques of the nomadic Kuravan-Kurathi community, creating baskets, mats, and utilitarian items while traveling.",Tamil Nadu,Art Form,Nomadic Craft,National Crafts Museum
Pachisi,"Traditional board game played on a cross-shaped board with cowrie shells or dice, featuring strategic movement of pieces around the board.",Pan-India,Social Practice,Traditional Game,National Council of Educational Research and Training
Kumaoni Ramleela,"Distinctive tradition of Ramayana performance in Uttarakhand, featuring unique musical compositions, costumes, and continuous performance over several days.",Uttarakhand,Performing Arts,Theater,Sangeet Natak Akademi
Pattani Cuisine,"Traditional food practices of the fishing communities of Kerala, featuring distinctive seafood preparations, preservation techniques, and cooking methods.",Kerala,Cuisine,Regional Cuisine,Kerala Tourism Department
Wangala,"Harvest festival of the Garo tribe celebrating the sun god Saljong, featuring drumming, colorful costumes, and synchronized dance movements.",Meghalaya,Festival,Harvest Festival,North East Zone Cultural Centre
Mysore Dasara,"Ten-day festival in Karnataka celebrating the victory of good over evil, featuring the Mysore Palace illumination, procession of decorated elephants, and cultural performances.",Karnataka,Festival,Religious Festival,Karnataka Tourism Department
Behdienkhlam,"Monsoon festival of the Jaintia tribe in Meghalaya to ward off plague and disease, featuring colorful wooden structures, drumming, and ritual cleansing.",Meghalaya,Festival,Monsoon Festival,North East Zone Cultural Centre
Saga Dawa,"Buddhist festival in Sikkim commemorating Buddha's birth, enlightenment, and death, featuring prayer flags, processions, and charitable activities.",Sikkim,Festival,Religious Festival,Sikkim Tourism Department
Ziro Music Festival,"Contemporary cultural gathering in Arunachal Pradesh showcasing indigenous music alongside modern genres, held in the traditional Apatani tribal village setting.",Arunachal Pradesh,Festival,Cultural Festival,North East Zone Cultural Centre
Bathukamma,"Floral festival celebrated by women in Telangana, creating elaborate flower stacks that are worshipped and then immersed in water bodies.",Telangana,Festival,Women's Ritual,Telangana Tourism Development Corporation
Sammakka Saralamma Jatara,"Biennial tribal festival in Telangana honoring tribal goddesses, drawing millions of devotees for offerings and rituals in the forest region.",Telangana,Festival,Tribal Festival,Anthropological Survey of India
Bonderam,"Flag festival of Goa celebrating the resolution of land disputes between villages, featuring colorful flags, mock fights with soft weapons, and music.",Goa,Festival,Community Festival,Goa Tourism Development Corporation
Chithirai Festival,"Month-long celebration in Madurai commemorating the celestial wedding of Goddess Meenakshi and Lord Sundareswarar, featuring elaborate processions and rituals.",Tamil Nadu,Festival,Religious Festival,Tamil Nadu Tourism Development Corporation
Ambubachi Mela,"Annual fertility festival at Kamakhya Temple in Assam marking the annual menstruation course of the goddess, with the temple remaining closed for three days.",Assam,Festival,Religious Festival,Assam Tourism Development Corporation
Nagoba Jatara,"Tribal festival of the Gond people worshipping the serpent deity, featuring distinctive rituals, tribal dances, and a ceremony where women offer their first-born's hair.",Telangana,Festival,Tribal Festival,Anthropological Survey of India
Myoko Festival,"Traditional festival of the Apatani tribe in Arunachal Pradesh celebrating friendship, fertility, and prosperity through sacrificial offerings and community rituals.",Arunachal Pradesh,Festival,Tribal Festival,North East Zone Cultural Centre
Hampi Festival,"Cultural celebration held against the backdrop of UNESCO World Heritage ruins, featuring classical dance, music, puppet shows, and rural sports.",Karnataka,Festival,Cultural Festival,Karnataka Tourism Department
Moatsu Festival,"Post-sowing celebration of the Ao Naga tribe featuring traditional singing, dancing, feasting on rice beer, and community bonding activities.",Nagaland,Festival,Agricultural Festival,North East Zone Cultural Centre
Sao-Ladakh Festival,"Cultural showcase in Ladakh featuring masked dances, traditional music, archery competitions, and polo matches against the backdrop of Buddhist monasteries.",Ladakh,Festival,Cultural Festival,"Ministry of Tourism, Government of India"
Anthurium Festival,"Floral festival in Mizoram celebrating the cultivation of anthuriums, featuring flower exhibitions, cultural performances, and agricultural knowledge sharing.",Mizoram,Festival,Agricultural Festival,North East Zone Cultural Centre
Sangai Festival,"Annual tourism festival in Manipur named after the state's endangered brow-antlered deer, showcasing indigenous sports, crafts, cuisine, and performing arts.",Manipur,Festival,Cultural Festival,Manipur Tourism Forum
Torgya Festival,Three-day monastic festival in Arunachal Pradesh featuring masked lama dances to drive away evil spirits and bring prosperity to the community.,Arunachal Pradesh,Festival,Religious Festival,North East Zone Cultural Centre
Cheiraoba,"Manipuri New Year celebration featuring house cleaning, preparing special meals, and climbing nearby hills in the belief that it elevates humans to greater heights in life.",Manipur,Festival,Spring Festival,Manipur Tourism Forum
Aoling Festival,"Spring festival of the Konyak Naga tribe marking the beginning of the agricultural cycle, featuring traditional dances, songs, and feasting.",Nagaland,Festival,Spring Festival,North East Zone Cultural Centre
Kharchi Puja,"Seven-day royal ritual in Tripura worshipping the fourteen gods of the royal Tripuri people, featuring animal sacrifices and elaborate ceremonies.",Tripura,Festival,Religious Festival,Tripura Tourism Development Corporation
Garia Puja,"Spring festival of the Tripuri people honoring Lord Garia for good harvest and prosperity, featuring bamboo pole decorations and community dancing.",Tripura,Festival,Spring Festival,Tripura Tourism Development Corporation
Losoong,"Sikkimese New Year marking the end of the harvest season, featuring masked dances, archery competitions, and traditional food and drink.",Sikkim,Festival,Harvest Festival,Sikkim Tourism Department
Dwijing Festival,"Winter festival along the banks of Aie River in Assam promoting tourism through river activities, indigenous games, food, and cultural performances.",Assam,Festival,Cultural Festival,Assam Tourism Development Corporation
Pang Lhabsol,"Unique Sikkimese festival paying homage to Mount Khangchendzonga as the guardian deity, featuring warrior dances and offerings.",Sikkim,Festival,Religious Festival,Sikkim Tourism Department
Poush Mela,"Annual fair in Shantiniketan, West Bengal, celebrating the founding of the Brahmo Samaj with folk performances, handicrafts, and rural traditions.",West Bengal,Festival,Cultural Festival,West Bengal Tourism
Ras Leela,"Traditional dance drama from Manipur depicting the divine love between Krishna and the gopis, performed with classical movements and devotional music.",Manipur,Performing Arts,Dance Drama,Sangeet Natak Akademi
Thang-Ta,"Manipuri martial art combining spear and sword techniques with ritualistic elements, developed for warfare and now preserved as cultural heritage.",Manipur,Performing Arts,Martial Art,Sangeet Natak Akademi
Singhi Chham,"Masked snow lion dance from Sikkim performed during Buddhist festivals, symbolizing the strength and fearlessness of the Himalayan people.",Sikkim,Performing Arts,Ritual Dance,Sikkim Tourism Department
Hojagiri,Traditional dance form of the Reang tribe in Tripura performed by young women balancing on earthen pitchers while moving their lower bodies with precise control.,Tripura,Performing Arts,Folk Dance,Tripura Tourism Development Corporation
Naman,Traditional greeting of the Nyishi tribe in Arunachal Pradesh involving specific hand gestures and verbal exchanges based on age and social status.,Arunachal Pradesh,Custom,Greeting,Anthropological Survey of India
Cheraw,"Bamboo dance from Mizoram where dancers move between rhythmically clapped bamboo poles, requiring precise timing and coordination.",Mizoram,Performing Arts,Folk Dance,North East Zone Cultural Centre
Dhol Cholom,"Energetic drum dance from Manipur performed during Holi celebrations, featuring acrobatic movements while playing the dhol (drum).",Manipur,Performing Arts,Folk Dance,Sangeet Natak Akademi
Nongkrem Dance,Five-day royal festival dance of the Khasi tribe honoring the goddess Ka Blei Synshar for good harvest and prosperity of the kingdom.,Meghalaya,Performing Arts,Ritual Dance,North East Zone Cultural Centre
Zeliang Folk Songs,"Traditional narrative songs of the Zeliang tribe in Nagaland preserving oral history, cultural values, and community knowledge through generations.",Nagaland,Performing Arts,Folk Music,North East Zone Cultural Centre
Lai Haroba Jagoi,Ritual dance component of Manipur's Lai Haroba festival depicting the creation of the universe and human beings through stylized movements.,Manipur,Performing Arts,Ritual Dance,Sangeet Natak Akademi
Shad Suk Mynsiem,"Thanksgiving dance festival of the Khasi tribe in Meghalaya celebrating spring and good harvest, with men and women performing in traditional attire.",Meghalaya,Performing Arts,Folk Dance,North East Zone Cultural Centre
Dhokra Metal Casting,Ancient lost-wax metal casting technique creating tribal figurines and functional items with distinctive primitive patterns and motifs.,Chhattisgarh,Art Form,Traditional Craft,National Crafts Museum
Lepcha Weaving,Traditional handloom technique of the indigenous Lepcha tribe of Sikkim creating distinctive patterns and motifs on cotton and woolen fabrics.,Sikkim,Art Form,Tribal Craft,National Crafts Museum
Longpi Pottery,"Distinctive black pottery from Manipur made by mixing serpentine stone with clay, hand-shaped without a wheel, and smoke-fired to create durable cookware.",Manipur,Art Form,Traditional Craft,National Crafts Museum
Monpa Paper Making,Traditional handmade paper craft of the Monpa tribe in Arunachal Pradesh using the bark of the Shugu Sheng tree through a multi-step process.,Arunachal Pradesh,Art Form,Traditional Craft,National Crafts Museum
Sikki Grass Work,"Intricate craft technique from Bihar using golden-yellow sikki grass to create ritual objects, jewelry, and decorative items through coiling and binding.",Bihar,Art Form,Traditional Craft,National Crafts Museum
Cane and Bamboo Craft,"Specialized craftsmanship from Northeast India creating furniture, household items, and decorative objects using indigenous techniques of splitting, weaving, and binding.",Assam,Art Form,Traditional Craft,National Crafts Museum
Naga Beadwork,"Intricate bead embellishment tradition of Naga tribes creating symbolic patterns on shawls, headgear, and ceremonial attire denoting tribal identity and status.",Nagaland,Art Form,Tribal Craft,National Crafts Museum
Tholu Bommalata Puppets,"Traditional leather puppet making from Andhra Pradesh, involving elaborate processes of treating, cutting, painting, and perforating leather to create translucent puppets.",Andhra Pradesh,Art Form,Traditional Craft,National Crafts Museum
Khasi Bamboo Baskets,Specialized bamboo weaving techniques of the Khasi tribe creating utilitarian and ritual baskets with distinctive patterns and functional designs.,Meghalaya,Art Form,Tribal Craft,National Crafts Museum
Apatani Face Tattoos,"Traditional facial tattooing practice of Apatani women featuring distinctive nose plugs and facial lines, originally developed as a protective measure.",Arunachal Pradesh,Art Form,Body Art,Anthropological Survey of India
Rabari Embroidery,"Intricate mirror and thread work tradition of the nomadic Rabari community, featuring bold geometric patterns and symbolic motifs on textiles and garments.",Gujarat,Art Form,Traditional Craft,National Crafts Museum
Bhil Painting,"Distinctive tribal art form using dots and dashes to create vibrant depictions of daily life, mythology, and nature, originally created on hut walls.",Madhya Pradesh,Art Form,Tribal Art,National Crafts Museum
Konyak Headhunter Jewelry,"Traditional ornaments of the Konyak Naga tribe featuring brass heads, animal teeth, and hornbill feathers, historically worn by successful warriors.",Nagaland,Art Form,Tribal Craft,National Crafts Museum
Dimasa Bamboo Dance,"Traditional dance form of the Dimasa tribe in Assam performed with bamboo poles, featuring intricate footwork and rhythmic movements.",Assam,Performing Arts,Folk Dance,North East Zone Cultural Centre
Angami Stone Pulling,Traditional ceremony of the Angami Naga tribe involving the communal pulling of a large monolith to commemorate significant events or deceased community leaders.,Nagaland,Ritual,Community Ritual,Anthropological Survey of India
Nyokum Yullo,Annual harvest festival of the Nyishi tribe in Arunachal Pradesh invoking the earth goddess Nyokum for good harvest and community wellbeing.,Arunachal Pradesh,Festival,Harvest Festival,North East Zone Cultural Centre
Mizo Zawlbuk System,"Traditional dormitory system for young men in Mizoram serving as educational institution for tribal customs, warfare techniques, and community service.",Mizoram,Social Structure,Educational System,Anthropological Survey of India
Khasi Matrilineal System,"Traditional social structure of the Khasi tribe where lineage, inheritance, and family name pass through the female line, with the youngest daughter as custodian of family property.",Meghalaya,Social Structure,Family System,Anthropological Survey of India
Meitei Cheiraoba,"Manipuri New Year celebration featuring house cleaning, preparing special meals, and climbing nearby hills in the belief that it elevates humans to greater heights in life.",Manipur,Festival,Spring Festival,Manipur Tourism Forum
Lotha Tokhu Emong,"Post-harvest thanksgiving festival of the Lotha Naga tribe featuring community feasting, singing, dancing, and games to celebrate abundance.",Nagaland,Festival,Harvest Festival,North East Zone Cultural Centre
Mishmi Tamladu,"New Year festival of the Mishmi tribe in Arunachal Pradesh featuring animal sacrifices, shamanic rituals, and community feasting to ensure prosperity.",Arunachal Pradesh,Festival,Spring Festival,North East Zone Cultural Centre
Karbi Chomangkan,"Elaborate funeral ritual of the Karbi tribe lasting several days, featuring buffalo sacrifices, feasting, and dance to guide the deceased's soul to the afterlife.",Assam,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Reang Buisu,"Harvest festival of the Reang tribe in Tripura celebrating the end of the agricultural cycle with community dancing, feasting, and traditional sports.",Tripura,Festival,Harvest Festival,Tripura Tourism Development Corporation
Apatani Wet Rice Cultivation,Sustainable agricultural system of the Apatani tribe combining rice cultivation with fish farming in the same fields without using chemical fertilizers.,Arunachal Pradesh,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Bhutia Winter Solstice,"Traditional celebration of the winter solstice by the Bhutia community in Sikkim featuring masked dances, prayer ceremonies, and community feasting.",Sikkim,Festival,Seasonal Festival,Sikkim Tourism Department
Galo Popir,"Traditional oral narrative tradition of the Galo tribe in Arunachal Pradesh preserving myths, legends, and community knowledge through rhythmic chanting.",Arunachal Pradesh,Knowledge System,Oral Tradition,Sahitya Akademi
Angami Terrace Farming,Sustainable agricultural technique developed by the Angami Naga tribe creating elaborate terraced fields on hillsides for rice cultivation.,Nagaland,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Mizo Tlawmngaihna,"Traditional ethical code of the Mizo people emphasizing selfless service, bravery, and community welfare above individual interests.",Mizoram,Social Practice,Ethical Code,Anthropological Survey of India
Naga Morung Education,"Traditional knowledge transmission system in Naga communities where young men live in communal houses (morung) to learn tribal customs, skills, and values.",Nagaland,Knowledge System,Educational Practice,Anthropological Survey of India
Meitei Lai Haraoba Masks,Specialized mask-making tradition for Manipur's Lai Haraoba festival depicting various deities and characters from creation mythology.,Manipur,Art Form,Ritual Craft,Sangeet Natak Akademi
Dimasa Madai,"Religious festival of the Dimasa tribe in Assam honoring their ancestral deities with animal sacrifices, ritual dances, and community feasting.",Assam,Festival,Religious Festival,Assam Tourism Development Corporation
Khiamniungan Fire Making,"Traditional technique of the Khiamniungan Naga tribe to create fire using bamboo, dried grass, and friction methods, preserved as cultural heritage.",Nagaland,Traditional Knowledge,Survival Skill,Anthropological Survey of India
Adi Solung,"Harvest festival of the Adi tribe in Arunachal Pradesh featuring animal sacrifices, community feasting, and traditional dances to thank the earth goddess.",Arunachal Pradesh,Festival,Harvest Festival,North East Zone Cultural Centre
Bhutia Losar Mask Dance,Ceremonial masked performances during Bhutia New Year celebrations depicting the triumph of good over evil through elaborate choreography and symbolism.,Sikkim,Performing Arts,Ritual Dance,Sikkim Tourism Department
Maring Luira,Spring festival of the Maring tribe in Manipur marking the beginning of the agricultural cycle with seed blessing ceremonies and community rituals.,Manipur,Festival,Spring Festival,Manipur Tourism Forum
Tangkhul Luira,"New Year festival of the Tangkhul Naga tribe celebrating the arrival of spring with village cleaning, seed blessing, and community feasting.",Manipur,Festival,Spring Festival,Manipur Tourism Forum
Garo A·chik Literature,"Oral and written literary traditions of the Garo tribe preserving creation myths, ethical codes, and community knowledge through generations.",Meghalaya,Literature,Tribal Literature,Sahitya Akademi
Mizo Khuallam,Traditional guest welcoming dance of the Mizo people performed during festivals and special occasions to honor visitors with rhythmic bamboo movements.,Mizoram,Performing Arts,Folk Dance,North East Zone Cultural Centre
Khasi Phawar,"Traditional poetic expressions of the Khasi tribe using metaphors, proverbs, and rhythmic patterns to convey moral lessons and community wisdom.",Meghalaya,Literature,Oral Tradition,Sahitya Akademi
Nyishi Nyethrii Dow,"Traditional head gear of the Nyishi tribe in Arunachal Pradesh made from hornbill beak and feathers, now replaced with sustainable alternatives to protect the bird.",Arunachal Pradesh,Art Form,Traditional Craft,National Crafts Museum
Ao Naga Tsungremong,"Religious festival of the Ao Naga tribe honoring their supreme deity Lijaba with prayers for good harvest, health, and community prosperity.",Nagaland,Festival,Religious Festival,North East Zone Cultural Centre
Meitei Pena Music,"Traditional narrative musical form of Manipur using the pena (single-stringed fiddle) to accompany stories, myths, and historical accounts.",Manipur,Performing Arts,Folk Music,Sangeet Natak Akademi
Khasi Pomblang,Sacred ritual of the Khasi tribe involving animal sacrifice to honor ancestral deities and seek blessings for the community's welfare.,Meghalaya,Ritual,Religious Ceremony,Anthropological Survey of India
Apatani Myoko,"Major festival of the Apatani tribe celebrating friendship, fertility, and prosperity through sacrificial offerings and community rituals.",Arunachal Pradesh,Festival,Tribal Festival,North East Zone Cultural Centre
Mizo Khuang,Traditional drum-based music of the Mizo people using bamboo and wooden drums in various sizes to create complex rhythmic patterns for ceremonies and dances.,Mizoram,Performing Arts,Folk Music,North East Zone Cultural Centre
Gudi Padwa,"Maharashtrian New Year celebration marked by raising a gudi (bamboo stick with silk cloth, neem leaves, and marigold flowers) outside homes, preparing special foods, and performing rituals for prosperity.",Maharashtra,Festival,Spring Festival,"Ministry of Culture, Government of India"
Puri Rath Yatra,"Annual chariot festival where massive wooden chariots carrying Lord Jagannath, Lord Balabhadra, and Goddess Subhadra are pulled through the streets by thousands of devotees.",Odisha,Festival,Religious Festival,Odisha Tourism Development Corporation
Kumbhalgarh Festival,"Cultural celebration held against the backdrop of the majestic Kumbhalgarh Fort, featuring folk performances, traditional music, and crafts exhibition.",Rajasthan,Festival,Cultural Festival,Rajasthan Tourism Development Corporation
Thrissur Pooram,"Spectacular temple festival featuring caparisoned elephants, traditional percussion ensembles, and an elaborate parasol exchange ceremony between competing temple groups.",Kerala,Festival,Temple Festival,Kerala Tourism Department
Konark Dance Festival,"Annual classical dance festival held against the backdrop of the Sun Temple in Konark, showcasing various Indian classical dance forms.",Odisha,Festival,Cultural Festival,Odisha Tourism Development Corporation
Pushkar Camel Fair,"Annual livestock fair and cultural festival featuring camel trading, competitions, folk performances, and religious rituals at the sacred Pushkar Lake.",Rajasthan,Festival,Cultural Festival,Rajasthan Tourism Development Corporation
Bohag Bihu,"Assamese spring festival marking the agricultural new year, featuring community dancing, feasting, and traditional games and sports.",Assam,Festival,Spring Festival,Assam Tourism Development Corporation
Ratha Saptami,"Festival dedicated to Sun God Surya, featuring ritual bathing at sunrise and prayers for health and prosperity, especially celebrated in South India.",South India,Festival,Religious Festival,Anthropological Survey of India
Attukal Pongala,"Women's festival in Kerala where millions of women prepare sweet rice porridge as offering to the Attukal Bhagavathy temple deity, recognized as the largest gathering of women for a religious activity.",Kerala,Festival,Women's Ritual,Kerala Tourism Department
Thaipusam,"Tamil festival honoring Lord Murugan, featuring devotees carrying kavadis (physical burdens) and performing acts of devotion through body piercing and endurance.",Tamil Nadu,Festival,Religious Festival,Tamil Nadu Tourism Development Corporation
Nagaur Fair,"Traditional livestock fair and cultural festival featuring bull trading, camel races, cockfights, and folk performances.",Rajasthan,Festival,Cultural Festival,Rajasthan Tourism Development Corporation
Kila Raipur Rural Olympics,"Unique sports festival featuring traditional Punjabi rural sports including bullock cart races, tractor races, and feats of strength.",Punjab,Festival,Sports Festival,Punjab Tourism Development Corporation
