input ,output,instruction,prompt
:question: What is the best time to visit Hyderabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Nehru Zoological Park. Day 3: Salar Jung Museum, Ramoji Film City. Day 4: Hussain Sagar Lake, Birla Mandir. Day 5: Chilkur Balaji Temple, Qutb Shahi Tombs.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Thiruvananthapuram?,"Appam, Idiyappam, Biriyani, Sadya, Puttu.","Answer the question truthfully, you are a travel expert.","List popular dishes from Thiruvananthapuram, India."
:question: What is the best time to visit Thiruvananthapuram?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Sree Chitra Art Gallery. Day 2: Kovalam Beach, Vellayani Lake. Day 3: Shankumugham Beach, Kuthiramalika Palace. Day 4: Napier Museum, Ponmudi Hill Station. Day 5: Kanyakumari, Vizhinjam Lighthouse.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Sambar, Rasam, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: What is the best time to visit Chennai?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kovalam Beach. Day 3: Muttukadu Boat House, Vedanthangal Bird Sanctuary. Day 4: Guindy National Park, Thiruvalluvar Statue. Day 5: Mahabalipuram Beach, Dakshina Chitra.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Dosa, Vada, Idli, Rasam, Sambar.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: What is the best time to visit Bangalore?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Ulsoor Lake. Day 3: Bannerghatta National Park, Bangalore Palace. Day 4: Innovative Film City, Wonderla Amusement Park. Day 5: Nandi Hills, Channapatna Toy Town.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pani Puri, Dahi Vada, Misal Pav, Pav Bhaji.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: What is the best time to visit Mumbai?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Haji Ali Dargah, Bandra-Worli Sea Link. Day 4: Sanjay Gandhi National Park, Siddhivinayak Temple. Day 5: Essel World, Water Kingdom.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Aloo Posto, Macher Jhol, Rosogolla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Belur Math. Day 3: Indian Museum, Nicco Park. Day 4: Eden Gardens, Millennium Park. Day 5: Dakshineswar Temple, Kanchenjunga Stadium.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Coimbatore?,"Dosa, Idli, Sambar, Rasam, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Coimbatore, India."
:question: What is the best time to visit Coimbatore?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Coimbatore, India."
:question: Plan a 5-day itinerary for Coimbatore. ,"Day 1: Marudhamalai Hill, Anamalai Wildlife Sanctuary. Day 2: Kovai Kutralam Falls, Dhyanalinga Yoga Center. Day 3: Isha Yoga Center, Perur Pateeswarar Temple. Day 4: Monkey Falls, Vydehi Falls. Day 5: Sivasamudram Falls, Chellakki Waterfalls.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Coimbatore, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Ramoji Film City, Hussain Sagar Lake. Day 3: Birla Mandir, Nehru Zoological Park. Day 4: Golkonda Fort, Qutub Shahi Tombs. Day 5: Chilkur Balaji Temple, Salar Jung Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Kebabs, Faluda.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Hyderabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, Jantar Mantar. Day 2: Amber Fort, Jaigarh Fort. Day 3: Nahargarh Fort, Jaipur Zoo. Day 4: City Palace, Jal Mahal. Day 5: Birla Temple, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Gatte ki Sabji, Dal Baati Churma, Pyaaz Ki Kachori, Raj Kachori, Lal Maas.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Osho Ashram. Day 2: Sinhagad Fort, Rajiv Gandhi Zoological Park. Day 3: Laxmi Road, Empress Garden. Day 4: Raja Dinkar Kelkar Museum, Parvati Hill. Day 5: Aundh Lake, Mulshi Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Dhokla, Poha, Puran Poli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: What is the best time to visit Pune?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Pune, India."
:question: Plan a 5-day itinerary for Visakhapatnam. ,"Day 1: Borra Caves, Kailasagiri. Day 2: Rama Krishna Beach, Dolphin's Nose. Day 3: Yarada Beach, Araku Valley. Day 4: Kondakarla Aada, Indira Gandhi Zoological Park. Day 5: Mangamaripeta Beach, Gangavaram Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Visakhapatnam, India."
:question: What are the popular dishes in Visakhapatnam?,"Guddu Pongali, Pesarattu, Nunchi Pulusu, Gongura Mamsam, Ghongura Pulusu.","Answer the question truthfully, you are a travel expert.","List popular dishes from Visakhapatnam, India."
:question: What is the best time to visit Visakhapatnam?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Visakhapatnam, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Auto World Vintage Car Museum, Kankaria Lake. Day 3: Calico Museum of Textiles, Akshardham Temple. Day 4: Sardar Vallabhbhai Patel National Memorial, Teen Darwaza. Day 5: Dandi Kutir Museum, Manek Chowk.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Khandvi, Thepla, Handvo, Jalebi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: What is the best time to visit Ahmedabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Ahmedabad, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masjid, Van Vihar National Park. Day 2: Bhojpur Temple, Shaukat Mahal. Day 3: Dharavi Lake, Lakshmi Narayan Temple. Day 4: Bharat Bhavan, Sadar Manzil. Day 5: Sanchi Stupa, Helicopter Ride over Bhopal.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: What are the popular dishes in Bhopal?,"Poha Jalebi, Dahi Bada, Bada, Bhopali Samosa, Chilla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: What is the best time to visit Bhopal?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Bhopal, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Chinese Fishing Nets, Fort Kochi. Day 2: St. Francis Church, Mattancherry Palace. Day 3: Jewish Synagogue, Ernakulam Shiva Temple. Day 4: Willingdon Island, Bolgatty Palace. Day 5: Cherai Beach, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: What are the popular dishes in Cochin?,"Puttu, Appam, Rice Boat, Idiyappam, Sadya.","Answer the question truthfully, you are a travel expert.","List popular dishes from Cochin, India."
:question: What is the best time to visit Cochin?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Cochin, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Nehru Zoological Park, Salar Jung Museum. Day 3: Hussain Sagar Lake, Ramoji Film City. Day 4: Golkonda Fort, Birla Mandir. Day 5: Nehru Memorial Hall, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Osmani Biryani, Chicken 65, Nizam's Dum Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 3: Juhu Beach, Hanging Gardens. Day 4: Bandra-Worli Sea Link, Siddhivinayak Temple. Day 5: Colaba Causeway, Chhatrapati Shivaji Terminus.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pani Puri, Dahi Vada, Bombay Sandwich, Misal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Mumbai, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Shaniwar Wada. Day 2: Osho Commune International, Lonavala. Day 3: Sinhagad Fort, Raja Dinkar Kelkar Museum. Day 4: Pataleshwar Cave Temple, Darshan Museum. Day 5: Mulshi Dam, Rajiv Gandhi Zoological Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Sambar Vada, Poha, Puran Poli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Pune, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Guindy National Park, DakshinaChitra Museum. Day 3: Mahabalipuram, Fort St. George. Day 4: Vadapalani Murugan Temple, San Thome Cathedral. Day 5: Elliot's Beach, Theosophical Society.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Rasam, Sambar, Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: What is the best time to visit Chennai?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Chennai, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Temple. Day 3: Millennium Park, Indian Museum. Day 4: Nandan, Birla Planetarium. Day 5: Eden Gardens, Fort William.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Cholar Dal, Rosogolla, Sandesh, Telebhaja.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kolkata, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Kuthiramalika Palace. Day 2: Vellayani Lake, Puthenmalika Palace. Day 3: Shanghumukham Beach, Kovalam Beach. Day 4: Sree Chitra Art Gallery, Napier Museum. Day 5: Aazhimala Jain Monastery, Shangumukham Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: What are the popular dishes in Thiruvananthapuram?,"Puttu, Idiyappam, Appam, Sadya, Kappari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Thiruvananthapuram, India."
:question: What is the best time to visit Thiruvananthapuram?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Chinese Fishing Nets, Mattancherry Palace. Day 2: St. Francis Church, Jewish Synagogue. Day 3: Fort Kochi, Kodanad Elephant Training Centre. Day 4: Cherai Beach, Bolgatty Palace. Day 5: Willingdon Island, Kundala Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kochi, India."
:question: What are the popular dishes in Kochi?,"Puttu, Appam, Idiyappam, Biryani, Pork Vindaloo.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kochi, India."
:question: What is the best time to visit Kochi?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kochi, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Chowmahalla Palace, Charminar. Day 2: Birla Mandir, Nehru Zoological Park. Day 3: Ramoji Film City, Hussain Sagar. Day 4: Salar Jung Museum, Lumbini Park. Day 5: Necklace Road, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nizam's Doughnuts, Dosa, Idli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Hyderabad?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Bhojpur Temple, Van Vihar National Park. Day 2: Taj-ul-Masjid, Shaukat Mahal. Day 3: Birla Temple, Lower Lake. Day 4: Sanchi Stupa, Udayagiri Caves. Day 5: Dharvi Lake, Bhimbetka Caves.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: What are the popular dishes in Bhopal?,"Bhopali Poha, Tawa Paneer, Kebabs, Jalebi, Bhopali Samosa.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: What is the best time to visit Bhopal?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Bhopal, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Mehtab Bagh, Sikandra Fort. Day 3: Fatehpur Sikri, Akbar's Tomb. Day 4: Mathura, Vrindavan. Day 5: Tomb of Itimad-ud-Daulah, Agra Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Agra?,"Petha, Parathas, Chaat, Kebabs, Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What is the best time to visit Agra?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Agra, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jantar Mantar. Day 3: Jaigarh Fort, Nahargarh Fort. Day 4: Birla Temple, Sisodia Rani Ka Bagh. Day 5: Rambagh Palace, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Rajasthani Kadhi, Chaat, Bajre Ki Roti.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Jaipur?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bada Imambara, Chhota Imambara. Day 2: Rumi Darwaza, La Martiniere College. Day 3: Hazratganj, British Residency. Day 4: Dilkusha Kothi, Clock Tower. Day 5: Sikandar Bagh, Tomb of Saheed Birbal.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: What are the popular dishes in Lucknow?,"Biryani, Galauti Kebab, Kulfi, Chaat, Samosa.","Answer the question truthfully, you are a travel expert.","List popular dishes from Lucknow, India."
:question: What is the best time to visit Lucknow?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Lucknow, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Osho Ashram. Day 3: Raja Dinkar Kelkar Museum, Vishrambag Wakad. Day 4: Dagdusheth Ganpati Temple, Parvati Hill. Day 5: Pataleshwar Cave Temple, Raja Dinkar Kelkar Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Dosa, Pav Bhaji, Sitaphal Panna.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Pune, India."
:question: Plan a 5-day itinerary for Guwahati. ,"Day 1: Kamakhya Temple, Navagraha Temple. Day 2: Umananda Temple, Guwahati Planetarium. Day 3: Peacock Island, Basistha Ashram. Day 4: Fakiragram, Banasura Sagar. Day 5: Bharalu Riverfront, Shankardev Kalakshetra.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Guwahati, India."
:question: What are the popular dishes in Guwahati?,"Laksa, Thukpa, Momos, Bhaji Puri, Pitha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Guwahati, India."
:question: What is the best time to visit Guwahati?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Guwahati, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutb Shahi Tombs. Day 3: Hussain Sagar Lake, Ramoji Film City. Day 4: Nehru Zoological Park, Birla Mandir. Day 5: Chilkur Balaji Temple, Purani Haveli.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Hyderabadi Marghi, Nizam's Delight, Dosa.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Hyderabad?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Jallianwala Bagh. Day 2: Wagah Border, Durgiana Temple. Day 3: Hall Bazaar, Maharaja Ranjit Singh Museum. Day 4: Ram Bagh, Akal Takht. Day 5: Khair-ud-Din's Mosque, Mata Lal Devi Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: What are the popular dishes in Amritsar?,"Amritsari Kulcha, Chole Bhature, Lassi, Tandoori Chicken, Thekka Paneer Tikka.","Answer the question truthfully, you are a travel expert.","List popular dishes from Amritsar, India."
:question: What is the best time to visit Amritsar?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Amritsar, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Chhatrapati Shivaji Terminus. Day 3: Bandra-Worli Sea Link, Siddhivinayak Temple. Day 4: Juhu Beach, Haji Ali Dargah. Day 5: Colaba Causeway, Victoria Terminus.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Dhokla, Misal Pav, Pau Bhaji, Panipuri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Mumbai, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Dashashwamedh Ghat, Kedarghat. Day 2: Assi Ghat, Harishchandra Ghat. Day 3: Manikarnika Ghat, Vishwanath Temple. Day 4: Ramnagar Fort, Sankat Mochan Hanuman Temple. Day 5: Tulsi Manas Temple, Bharat Kala Bhawan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Varanasi?,"Banarasi Laddoo, Chaat, Til Kuli, Kachori Sabji, Sattu Paratha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: What is the best time to visit Varanasi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Varanasi, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram. Day 2: Kapaleeshwarar Temple, Mylapore. Day 3: Vadapalani Murugan Temple, Chennai Airport. Day 4: Fort St. George, San Thome Church. Day 5: Besant Nagar Beach, Dakshina Chitra.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vada, Rasam, Sambar.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: What is the best time to visit Chennai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Chennai, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Kali Temple. Day 3: Indian Museum, South Park Street Cemetery. Day 4: Birla Mandir, New Market. Day 5: Prinsep Ghat, Kali Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Kosha Mangsho, Rasgulla, Alur Dum, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: What is the best time to visit Kolkata?,"November to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kolkata, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Chandni Chowk. Day 2: Qutub Minar, Humayun's Tomb. Day 3: India Gate, Rashtrapati Bhawan. Day 4: Lotus Temple, Akshardham Temple. Day 5: Rajghat, Jama Masjid.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Samosa, Paneer Tikka.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: What is the best time to visit Delhi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Delhi, India."
:question: What is the best time to visit Goa?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Goa, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Fort Aguada, Sinquerim Beach. Day 2: Calangute Beach, Baga Beach. Day 3: Anjuna Beach, Chapora Fort. Day 4: Dudhsagar Waterfalls, Mollem National Park. Day 5: Dona Paula, Miramar Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: What are the popular dishes in Goa?,"Vindaloo, Xacuti, Fish Curry, Prawn Curry, Pork Vindaloo.","Answer the question truthfully, you are a travel expert.","List popular dishes from Goa, India."
:question: What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Nehru Zoological Park, Salar Jung Museum. Day 3: Ramoji Film City, Hussain Sagar Lake. Day 4: Birla Mandir, Nehru Statue. Day 5: Chilkur Balaji Temple, Qutb Shahi Tombs.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz, Dahi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Jantar Mantar, Amer Fort. Day 3: Jaigarh Fort, Nahargarh Fort. Day 4: Jhalana Safari Park, Birla Temple. Day 5: Chokhi Dhani, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabji, Lal Maas, Raj Kachori, Chilla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Kerala?,"August to March, during the monsoon season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kerala, India."
:question: Plan a 5-day itinerary for Kerala. ,"Day 1: Kochi, Chinese Fishing Nets. Day 2: Munnar, Mattupetty Dam. Day 3: Thekkady, Periyar Lake. Day 4: Alleppey, Houseboat. Day 5: Kovalam, Thiruvananthapuram.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kerala, India."
:question: What are the popular dishes in Kerala?,"Appam, Idiyappam, Sadya, Puttu, Banana Chips.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kerala, India."
:question: What is the best time to visit Kochi?,"August to March, during the monsoon season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kochi, India."
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Fort Kochi, St. Francis Church. Day 2: Mattancherry, Dutch Palace. Day 3: Mangalore, Bekal Fort. Day 4: Kozhikode, Kappad Beach. Day 5: Thiruvananthapuram, Padmanabhapuram Palace.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kochi, India."
:question: What are the popular dishes in Kochi?,"Biriyani, Idiyappam, Appam, Fish Curry, Puttu.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kochi, India."
:question: What is the best time to visit Kolkata?,"November to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kolkata, India."
